"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1910728832245785025","Fri Apr 11 16:17:07 +0000 2025","0","Ketika kembali kesana mereka jadi warga Israel gitu?","1910728832245785025","","","in","","0","0","0","https://x.com/penempaan/status/1910728832245785025","1640812467902205963","penempaan"
"1910466544536346974","Fri Apr 11 16:17:06 +0000 2025","0","@fritzsama666 @_crusshh Jenama Bata diboikot di India kerana operasinya di Israel dan Tebing Barat yang dikaitkan dengan pergerakan BDS untuk menyokong Palestin. Walaupun tiada protes besar-besaran di India seruan boikot di media sosial mungkin wujud atas solidariti dengan Gaza. Bata ditubuhkan pada https://t.co/4cp2UbY8U4","1910728825685893320","https://pbs.twimg.com/media/Gmq59kbaMAAmRX2.jpg","fritzsama666","in","wherever you are","0","0","0","https://x.com/grok/status/1910728825685893320","1720665183188922368","grok"
"1910068977105019262","Fri Apr 11 16:16:41 +0000 2025","0","@tanyarlfes Pengen membubarkan Israel nder","1910728720475967937","","tanyarlfes","in","Indonesia","0","0","0","https://x.com/fadlicuy/status/1910728720475967937","44142451","fadlicuy"
"1910728521372361180","Fri Apr 11 16:15:53 +0000 2025","0","Israel aja yang dikirim ke sini biar adu haram jadah sama kelakuan lu pada","1910728521372361180","","","in","","0","0","0","https://x.com/davidchlq/status/1910728521372361180","339394647","davidchlq"
"1910571890948690320","Fri Apr 11 16:14:43 +0000 2025","1","@BicireporteraDF Dar lata :)","1910728228009828795","","BicireporteraDF","in","","0","0","0","https://x.com/coyoacan_soport/status/1910728228009828795","1911518916","coyoacan_soport"
"1910672995347026423","Fri Apr 11 16:13:58 +0000 2025","70","@tanyarlfes inggris berperan besar dlm penjajahan palestina oleh israel. sebelumnya palestina tuh di bawah kekuasaan inggris terus pas israel mulai masuk dan ngusirin penduduk palestina kerajaan inggris justru memihak israel","1910728038192738517","","tanyarlfes","in","any pronouns","1","2","2","https://x.com/kawramazov/status/1910728038192738517","1899751749206028288","kawramazov"
"1910727854490607977","Fri Apr 11 16:13:14 +0000 2025","0","aneh bgt orang2 sana aja mempertahankan tanah milik mereka. ini orang malah dukung israel buat lebih mudah ngerampas tanahnya","1910727854490607977","","","in","","0","0","0","https://x.com/lesssugarpls/status/1910727854490607977","1212967355917033474","lesssugarpls"
"1910715293716144510","Fri Apr 11 16:12:47 +0000 2025","0","@rizkystrsna Yang bombardillo meme orang israel buat palestine Kay tung tung saur aja better.","1910727739134664797","","rizkystrsna","in","Tangerang, Banten.","0","1","0","https://x.com/insomnius_/status/1910727739134664797","835035712181325826","insomnius_"
"1910726602511835542","Fri Apr 11 16:10:46 +0000 2025","6","@ijalnangor Huihh ini semua salah israel","1910727234496909604","","ijalnangor","in","mencari ikigai","0","0","0","https://x.com/misnaansim/status/1910727234496909604","1418457056051273729","misnaansim"
"1910727202439573999","Fri Apr 11 16:10:39 +0000 2025","0","Pakistan ke Ulama ne Israel ke khilaf Jihad ka fatwa diya hai India ke Ulama RSS BJP ke khilaf Jihad ka fatwa den Mza aa jaega #Jihad #Muslims #CSKvsKKR #IsraelTerroristState #RSS #BJP #Terrorists","1910727202439573999","","","in","JHARKHAND 🇮🇳","0","0","0","https://x.com/MNQUASMIMD/status/1910727202439573999","1785998399118209024","MNQUASMIMD"
"1910726757722055154","Fri Apr 11 16:08:53 +0000 2025","1","BANTU ISRAEL YA ?","1910726757722055154","","","in","Bogor Selatan, Indonesia","0","0","0","https://x.com/YoezZar/status/1910726757722055154","1334397026545459203","YoezZar"
"1910725473480704397","Fri Apr 11 16:08:30 +0000 2025","0","Kalau Israel ingin Palestina merdeka harusnya mereka sudahi blokade Gaza sejak lama. Nyatanya? Coba cek aja habis gencatan senjata masih terus dihabisi dan bantuan dihalang-halangi masuk. Ide relokasi warga Palestina minggat dari tanahnya sama dengan memuluskan mimpi Zionis.","1910726661420835058","","gusghulam","in","Sawangan, Indonesia","0","1","0","https://x.com/gusghulam/status/1910726661420835058","601589541","gusghulam"
"1910537672726388741","Fri Apr 11 16:07:42 +0000 2025","0","@drzul_albakri Masih tak jawab persoalan 2 tahun genocide 50 000 orang kena bunuh dipermalukan dihina dikebulur ada yang cacat trauma islam dihina dr. Adakah susah nak umumkan jihad terhadap israel? Maaf kalau saya ada tersilap kata","1910726459003724084","","drzul_albakri","in","","0","0","0","https://x.com/arifjoe71/status/1910726459003724084","1026024703","arifjoe71"
"1910705486217044264","Fri Apr 11 16:07:26 +0000 2025","1","@Gendis_Wari Tuduhan tuduhan Israel ke Hamas selalu berbalik","1910726392972718184","","Gendis_Wari","in","Indonesia","0","1","0","https://x.com/ezharahap1/status/1910726392972718184","1777459159111454721","ezharahap1"
"1910725318006256062","Fri Apr 11 16:06:52 +0000 2025","0","@sukadimsumkeju Hukum menggunakan referensi jurnal dari Israel dalam Islam umumnya diperbolehkan karena tidak ada larangan spesifik dalam syariat. Islam mendorong mencari ilmu yang bermanfaat dari berbagai sumber selama valid dan tidak bertentangan dengan ajaran agama. Namun di Indonesia ada","1910726251486339558","","sukadimsumkeju","in","wherever you are","0","0","0","https://x.com/grok/status/1910726251486339558","1720665183188922368","grok"
"1910558889021714859","Fri Apr 11 16:06:41 +0000 2025","0","@wordfangs Halo siri apa hubungan food estate israel dan prabowo? ","1910726205126656003","","wordfangs","in","/var/www/app","0","0","0","https://x.com/pikirsiora/status/1910726205126656003","636214675","pikirsiora"
"1910705797371486306","Fri Apr 11 16:06:10 +0000 2025","0","@kompascom Ada pesan khususkah dari AS dan Israel? Semangat banget bapak2","1910726076701331680","","kompascom","in","","0","0","0","https://x.com/dirgo19760522/status/1910726076701331680","1645103468334690307","dirgo19760522"
"1910725968643174714","Fri Apr 11 16:05:45 +0000 2025","0","Listening to King Yawasap Uzziah Benjamin @SolomonIsaiahB2 Jud Zion Benji and Chai Ben Israel https://t.co/GLunyXV5FL","1910725968643174714","","","in","","0","0","0","https://x.com/Shirley26061705/status/1910725968643174714","1269188936104116231","Shirley26061705"
